"order_id","product_id","sales","quantity","discount","profit","shipping_cost"
AG-2012-1940,OFF-CAR-10001577,199.08,4,0.00,55.68,15.17
AG-2012-1940,TEC-STA-10003925,163.62,1,0.00,40.89,2.62
AG-2012-2200,FUR-DAN-10004510,1447.44,4,0.00,506.52,199.04
AG-2012-2220,FUR-HAR-10003548,63.87,1,0.00,20.43,4.60
AG-2012-2220b,OFF-SAN-10002639,23.52,1,0.00,0.45,2.69
AG-2012-2220b,TEC-HEW-10002304,1908.72,6,0.00,190.80,169.70
AG-2012-2430,FUR-TEN-10000325,17.55,1,0.00,0.87,1.07
AG-2012-2430,OFF-SAN-10001546,118.80,4,0.00,53.40,8.11
AG-2012-2430,OFF-SAN-10004618,16.89,1,0.00,6.90,0.77
AG-2012-3190,OFF-HOO-10001448,391.68,4,0.00,3.84,4.39
AG-2012-3190,OFF-STO-10001839,16.53,1,0.00,7.26,0.80
AG-2012-4060,FUR-BAR-10000831,319.77,1,0.00,121.50,9.19
AG-2012-4060,OFF-AVE-10000909,71.10,6,0.00,9.90,8.31
AG-2012-4060,OFF-BIC-10001823,109.92,2,0.00,38.46,9.10
AG-2012-4060,OFF-STA-10000054,11.31,1,0.00,0.99,1.19
AG-2012-4060,OFF-TEN-10003948,16.50,1,0.00,4.11,1.79
AG-2012-4630,FUR-BUS-10001187,824.28,2,0.00,280.20,90.77
AG-2012-4630,OFF-ACC-10004538,109.44,8,0.00,32.64,13.80
AG-2012-4630,OFF-CAR-10004661,50.13,1,0.00,10.50,4.08
AG-2012-4630,OFF-CUI-10002413,38.04,1,0.00,17.49,4.86
AG-2012-4630,OFF-STA-10001791,17.88,1,0.00,6.06,1.36
AG-2012-4630,OFF-TEN-10001031,54.69,1,0.00,13.65,5.89
AG-2012-4630,OFF-XER-10000846,589.32,12,0.00,93.96,59.19
AG-2012-4630,OFF-XER-10004519,46.38,1,0.00,4.62,6.13
AG-2012-4630,TEC-CIS-10001877,321.84,4,0.00,41.76,22.95
AG-2012-4630,TEC-OKI-10003124,314.10,1,0.00,131.91,33.55
AG-2012-4750,OFF-STO-10004779,57.48,4,0.00,12.00,4.22
AG-2012-4750,TEC-EPS-10003568,234.30,2,0.00,16.38,11.50
AG-2012-4910,OFF-AVE-10004909,29.37,1,0.00,10.26,1.91
AG-2012-4910,OFF-TEN-10000894,46.50,2,0.00,9.72,2.47
AG-2012-4910,TEC-LOG-10001750,29.49,1,0.00,3.81,0.91
AG-2012-5400,OFF-GRE-10000328,33.36,2,0.00,0.96,2.81
AG-2012-5400,OFF-KIT-10002357,199.20,2,0.00,93.60,33.05
AG-2012-5400,OFF-SME-10004160,16.56,1,0.00,0.99,3.79
AG-2012-5400,OFF-STO-10003342,13.59,1,0.00,6.78,1.29
AG-2012-6020,OFF-SME-10002823,96.96,2,0.00,12.60,16.76
AG-2012-6020,TEC-HP -10004082,172.53,1,0.00,86.25,16.25
AG-2012-6390,OFF-SAN-10000335,16.71,1,0.00,3.15,1.10
AG-2012-7530,FUR-DEF-10000346,110.10,1,0.00,8.79,7.95
AG-2012-8490,FUR-SAU-10004221,599.28,4,0.00,179.76,43.54
AG-2012-8490,OFF-AVE-10001750,109.32,4,0.00,14.16,7.31
AG-2012-8490,OFF-STO-10004910,18.66,1,0.00,8.94,2.05
AG-2012-8490,OFF-WIL-10002153,27.45,1,0.00,7.68,1.85
AG-2012-8660,OFF-SME-10001149,17.52,1,0.00,5.43,0.40
AG-2013-2580,TEC-SAN-10004721,110.70,2,0.00,17.70,8.47
AG-2013-2690,OFF-BOS-10000363,58.44,2,0.00,7.56,17.18
AG-2013-2690,OFF-STO-10002708,26.28,2,0.00,6.54,8.57
AG-2013-2840,FUR-SAU-10000209,146.76,1,0.00,42.54,17.73
AG-2013-2970,OFF-KLE-10004581,43.05,1,0.00,10.32,1.28
AG-2013-3970,OFF-STI-10001743,25.23,1,0.00,6.54,1.66
AG-2013-4150,OFF-EAT-10001303,41.16,2,0.00,19.32,8.44
AG-2013-4150,OFF-ROG-10000566,61.71,1,0.00,4.29,10.80
AG-2013-4150,OFF-STA-10004885,44.70,1,0.00,8.49,8.30
AG-2013-4150,OFF-TEN-10001129,54.66,1,0.00,2.73,8.37
AG-2013-4150,TEC-BEL-10002106,459.24,4,0.00,100.92,71.81
AG-2013-5140,OFF-ELD-10003918,32.10,2,0.00,3.18,2.75
AG-2013-5140,TEC-MEM-10004014,246.21,1,0.00,93.54,21.52
AG-2013-5250,TEC-SAM-10000345,166.83,1,0.00,4.98,10.35
AG-2013-5570,OFF-ACC-10002343,63.24,2,0.00,25.92,12.98
AG-2013-5570,OFF-BOS-10002472,48.60,1,0.00,20.88,10.94
AG-2013-5820,OFF-SME-10004754,19.20,4,0.00,5.76,1.08
AG-2013-5820,OFF-STO-10002449,63.84,4,0.00,6.36,11.02
AG-2013-5820,OFF-XER-10003901,60.96,2,0.00,5.46,7.42
AG-2013-5820,TEC-LOG-10001750,29.49,1,0.00,3.81,1.67
AG-2013-6090,OFF-BIN-10002061,46.32,1,0.00,12.03,3.94
AG-2013-6090,OFF-HON-10003538,18.06,2,0.00,9.00,1.20
AG-2013-640,OFF-AVE-10001847,12.36,1,0.00,1.23,2.96
AG-2013-640,OFF-GLO-10004123,78.96,4,0.00,8.64,4.37
AG-2013-6520,OFF-ACC-10000798,13.32,2,0.00,1.14,0.78
AG-2013-6520,OFF-BOS-10001348,128.52,4,0.00,64.20,5.93
AG-2013-6520,OFF-CAR-10002931,11.40,2,0.00,4.74,0.58
AG-2013-6630,FUR-SAU-10004653,435.99,1,0.00,178.74,70.02
AG-2013-6810,FUR-ELD-10000301,116.31,1,0.00,52.32,15.42
AG-2013-6810,TEC-NOK-10000534,638.91,1,0.00,229.98,93.82
AG-2013-7890,TEC-EPS-10004328,1050.96,4,0.00,399.36,64.78
AG-2013-8490,OFF-AVE-10004827,22.86,2,0.00,8.22,1.28
AG-2013-8490,OFF-BOS-10001386,51.78,1,0.00,1.53,6.05
AG-2013-8490,OFF-FEL-10002837,105.72,4,0.00,43.32,10.97
AG-2013-8490,OFF-JIF-10002836,185.76,4,0.00,18.48,37.71
AG-2013-8490,OFF-TEN-10004194,538.44,4,0.00,252.96,40.92
AG-2013-8990,FUR-SAU-10003795,147.30,1,0.00,10.29,50.56
AG-2013-9570,OFF-IBI-10003191,31.95,1,0.00,11.82,2.40
AG-2013-9890,OFF-STA-10001895,41.28,4,0.00,18.12,6.07
AG-2014-2040,FUR-RUB-10003004,106.92,1,0.00,26.73,16.77
AG-2014-2110,OFF-IBI-10004855,58.80,8,0.00,18.00,0.98
AG-2014-2110,OFF-SAN-10002839,207.12,4,0.00,76.56,11.21
AG-2014-2230,OFF-EAT-10004307,35.76,2,0.00,9.60,1.41
AG-2014-2280,FUR-SAF-10002121,264.96,2,0.00,29.10,0.64
AG-2014-2280,FUR-SAU-10000893,293.64,2,0.00,85.14,17.80
AG-2014-2280,OFF-STA-10001636,50.76,2,0.00,16.74,1.97
AG-2014-2280,OFF-TEN-10000794,53.73,1,0.00,6.42,4.45
AG-2014-2360,OFF-CAM-10003933,19.35,1,0.00,2.10,2.75
AG-2014-2600,FUR-IKE-10003642,287.58,2,0.00,8.58,19.63
AG-2014-2600,OFF-SAN-10001326,29.73,1,0.00,7.71,3.30
AG-2014-2600,OFF-STA-10000298,98.94,2,0.00,15.78,6.73
AG-2014-2600,TEC-STA-10000699,143.34,2,0.00,58.74,1.88
AG-2014-2760,FUR-DEF-10002865,17.61,1,0.00,8.79,2.28
AG-2014-2760,FUR-NOV-10002453,516.00,4,0.00,61.92,46.75
AG-2014-2760,OFF-AVE-10001750,163.98,6,0.00,21.24,26.60
AG-2014-2760,OFF-KIT-10001791,1052.16,2,0.00,526.08,147.79
AG-2014-2760,OFF-SME-10000880,10.77,1,0.00,0.00,1.23
AG-2014-2760,OFF-WIL-10001979,21.30,2,0.00,5.28,2.40
AG-2014-2830,OFF-BOS-10003699,49.86,1,0.00,0.00,5.84
AG-2014-2830,OFF-BRE-10004073,519.33,1,0.00,98.67,25.75
AG-2014-3130,TEC-SHA-10000052,481.68,2,0.00,178.20,25.79
AG-2014-3510,OFF-KRA-10001967,39.96,2,0.00,19.14,6.30
AG-2014-3710,FUR-HON-10001776,90.30,2,0.00,29.76,9.63
AG-2014-3710,OFF-CAM-10001249,83.40,2,0.00,3.30,9.28
AG-2014-3710,OFF-STI-10000305,48.09,1,0.00,4.32,2.58
AG-2014-4280,OFF-BOS-10004950,92.88,6,0.00,15.66,4.95
AG-2014-4280,OFF-HOO-10003820,163.56,2,0.00,57.24,16.64
AG-2014-4280,TEC-BRO-10004178,1515.24,4,0.00,560.52,98.08
AG-2014-4290,TEC-NOK-10000784,1008.00,8,0.00,433.44,122.39
AG-2014-4590,TEC-APP-10001108,73.26,1,0.00,10.98,24.16
AG-2014-4720,OFF-STA-10003027,14.97,1,0.00,5.37,0.52
AG-2014-4840,OFF-AVE-10004708,13.26,1,0.00,6.09,2.06
AG-2014-4840,OFF-FEL-10002399,19.68,1,0.00,3.12,3.09
AG-2014-4840,OFF-GRE-10004796,31.17,1,0.00,7.14,4.21
AG-2014-4840,TEC-LOG-10004917,209.76,2,0.00,85.98,34.80
AG-2014-4840,TEC-MEM-10002524,56.76,2,0.00,10.74,2.77
AG-2014-4840,TEC-MEM-10002524,56.76,2,0.00,10.74,5.43
AG-2014-4840,TEC-NOK-10004541,67.98,1,0.00,6.09,13.22
AG-2014-4880,OFF-CAR-10001358,4.80,1,0.00,2.19,0.31
AG-2014-5620,OFF-AVE-10004556,19.08,4,0.00,8.16,0.80
AG-2014-5620,OFF-SAN-10001128,90.96,8,0.00,20.88,7.47
AG-2014-6170,OFF-TEN-10000360,22.29,1,0.00,10.68,1.37
AG-2014-6310,FUR-RUB-10002817,40.83,1,0.00,5.28,5.01
AG-2014-6310,OFF-HAR-10002479,13.29,1,0.00,6.36,1.93
AG-2014-6470,OFF-ACC-10003636,105.18,2,0.00,25.20,3.66
AG-2014-6470,OFF-AME-10000870,17.49,1,0.00,6.12,4.23
AG-2014-6470,OFF-FIS-10000063,47.64,1,0.00,23.34,13.85
AG-2014-6470,OFF-KLE-10004543,27.12,2,0.00,5.94,6.80
AG-2014-6470,TEC-SHA-10004874,293.85,1,0.00,61.68,70.93
AG-2014-6650,OFF-ELD-10000845,196.98,1,0.00,39.39,15.66
AG-2014-6650,OFF-GLO-10003463,23.79,1,0.00,2.85,1.24
AG-2014-6650,OFF-STA-10003756,44.43,1,0.00,14.64,1.50
AG-2014-6650,OFF-STO-10004363,27.24,2,0.00,13.02,1.97
AG-2014-6650,OFF-WIL-10000979,4.89,1,0.00,1.17,0.35
AG-2014-6650,TEC-SAN-10002254,38.52,1,0.00,7.29,2.67
AG-2014-7430,OFF-TEN-10001585,16.53,1,0.00,7.41,1.30
AG-2014-7430,TEC-OKI-10002750,314.22,1,0.00,3.12,18.61
AG-2014-7490,OFF-BOS-10002340,26.37,1,0.00,10.80,1.19
AG-2014-7770,OFF-FEL-10001865,818.28,6,0.00,171.72,24.26
AG-2014-7770,OFF-STA-10001747,100.20,4,0.00,6.00,9.77
AG-2014-8040,OFF-ROG-10001818,122.88,4,0.00,9.72,19.74
AG-2014-8240,OFF-ADV-10004875,130.32,12,0.00,51.84,9.15
AG-2014-8240,OFF-ROG-10000566,123.42,2,0.00,8.58,20.27
AG-2014-8390,OFF-AME-10000851,39.39,1,0.00,19.29,10.58
AG-2014-8390,TEC-CIS-10003017,151.83,1,0.00,37.95,41.85
AG-2014-8600,FUR-SAU-10002255,874.68,2,0.00,148.68,54.12
AG-2014-8600,OFF-BIN-10000170,26.67,1,0.00,1.05,3.62
AG-2014-8620,OFF-AVE-10004508,5.04,1,0.00,0.84,0.71
AG-2014-8620,OFF-FEL-10001792,25.47,1,0.00,6.60,2.80
AG-2014-8620,OFF-SAN-10003285,49.44,4,0.00,13.80,4.27
AG-2014-8620,OFF-STA-10000244,45.69,1,0.00,7.29,5.55
AG-2014-8620,OFF-STA-10002719,52.08,2,0.00,17.70,10.76
AG-2014-8710,OFF-ROG-10003300,92.16,4,0.00,11.04,6.25
AG-2014-8930,OFF-IBI-10000080,15.84,1,0.00,1.26,2.41
AG-2014-9060,TEC-STA-10004542,160.32,4,0.00,24.00,12.66
AG-2014-9240,OFF-WIL-10000604,24.96,2,0.00,1.98,1.87
AG-2014-9430,OFF-FEL-10004117,229.56,4,0.00,15.96,8.81
AG-2014-9430,OFF-STA-10001895,10.32,1,0.00,4.53,0.54
AG-2014-9430,TEC-PAN-10000979,241.80,2,0.00,62.82,18.15
AJ-2011-4230,OFF-ROG-10002682,24.45,1,0.00,0.00,2.55
AJ-2011-4420,FUR-HON-10001847,454.71,1,0.00,50.01,147.24
AJ-2011-4420,OFF-AME-10004759,28.23,1,0.00,12.12,7.65
AJ-2011-4420,OFF-WIL-10003933,12.69,1,0.00,5.82,3.42
AJ-2011-4420,TEC-LOG-10003634,95.64,2,0.00,12.42,23.75
AJ-2011-4460,OFF-WIL-10003299,49.32,1,0.00,5.40,9.76
AJ-2011-7680,TEC-SAM-10000765,137.88,1,0.00,66.18,6.24
AJ-2012-7450,OFF-BIN-10001385,26.40,2,0.00,0.48,2.66
AJ-2012-7720,OFF-CAR-10001577,199.08,4,0.00,55.68,7.36
AJ-2012-7720,TEC-SAN-10003238,254.16,1,0.00,101.64,71.18
AJ-2013-1340,TEC-KON-10003077,51.63,1,0.00,24.24,5.36
AJ-2013-1760,TEC-CIS-10002986,141.33,1,0.00,14.13,10.89
AJ-2013-180,OFF-EAT-10003405,29.76,2,0.00,6.54,4.07
AJ-2013-2640,FUR-BAR-10004434,2058.00,4,0.00,946.68,393.62
AJ-2013-2640,OFF-WIL-10003299,394.56,8,0.00,43.20,44.64
AJ-2013-3610,OFF-ACC-10002772,10.08,1,0.00,4.62,1.37
AJ-2013-8630,OFF-CAR-10001428,7.62,1,0.00,3.42,0.42
AJ-2014-1760,OFF-TEN-10003089,133.20,1,0.00,23.97,5.75
AJ-2014-5740,FUR-TEN-10001809,50.46,1,0.00,0.99,7.92
AJ-2014-5740,OFF-BOS-10002558,60.42,2,0.00,9.66,12.60
AJ-2014-5740,OFF-NOV-10000141,13.32,2,0.00,6.24,0.97
AJ-2014-6170,OFF-ROG-10003733,29.76,1,0.00,3.27,4.28
AJ-2014-6800,FUR-DEF-10000720,44.01,1,0.00,15.84,3.66
AJ-2014-6800,OFF-STI-10001651,47.49,1,0.00,4.26,2.03
AJ-2014-6800,TEC-MEM-10004014,984.84,4,0.00,374.16,42.72
AJ-2014-8550,OFF-STO-10003878,33.36,2,0.00,12.66,2.25
AJ-2014-9020,OFF-BOS-10001375,53.91,1,0.00,12.39,2.98
AJ-2014-9550,FUR-HON-10000339,47.40,1,0.00,5.67,2.16
AJ-2014-9620,OFF-STI-10003148,157.80,4,0.00,9.36,27.41
AL-2011-4500,OFF-AVE-10002892,28.23,1,0.00,0.00,1.94
AL-2011-4500,OFF-BIN-10004569,33.18,2,0.00,4.92,1.96
AL-2011-4500,OFF-SAN-10002441,15.75,1,0.00,1.71,1.64
AL-2011-7440,TEC-STA-10002497,1619.10,10,0.00,258.90,301.73
AL-2011-9500,OFF-HAR-10004816,11.28,1,0.00,2.01,0.91
AL-2012-8670,FUR-DAN-10001622,363.75,1,0.00,39.99,33.38
AL-2012-8670,OFF-FEL-10002837,105.72,4,0.00,43.32,6.73
AL-2012-8670,OFF-WIL-10003774,6.45,1,0.00,1.65,0.37
AL-2012-9220,FUR-ELD-10002511,58.17,1,0.00,3.48,5.35
AL-2012-9980,FUR-BUS-10001243,414.03,1,0.00,202.86,26.48
AL-2013-3830,TEC-CIS-10000436,553.92,4,0.00,22.08,206.56
AL-2013-7280,TEC-CIS-10002598,182.07,1,0.00,40.05,59.24
AL-2013-7420,TEC-OKI-10000592,85.26,1,0.00,0.84,4.06
AL-2014-8450,OFF-BOS-10001576,173.70,6,0.00,24.30,28.56
AL-2014-8450,OFF-FEL-10001343,18.75,1,0.00,8.61,2.72
AL-2014-8450,OFF-TEN-10001031,218.76,4,0.00,54.60,16.94
AM-2011-7110,FUR-ADV-10004395,42.06,1,0.00,21.03,4.70
AM-2011-7110,FUR-OFF-10003019,94.20,1,0.00,45.21,6.72
AM-2013-2480,OFF-EAT-10004908,20.49,1,0.00,2.85,2.08
AO-2011-1390,OFF-FEL-10001541,206.40,1,0.00,92.88,53.08
AO-2011-1670,FUR-IKE-10001539,2478.60,6,0.00,49.50,349.87
AO-2011-1710,OFF-WIL-10001889,9.06,2,0.00,4.50,0.80
AO-2011-4780,TEC-MEM-10002202,985.68,4,0.00,78.84,125.89
AO-2011-4780,TEC-SAN-10003793,440.88,4,0.00,79.32,28.57
AO-2011-4910,TEC-LOG-10003079,28.32,1,0.00,12.72,2.00
AO-2011-7110,FUR-HON-10000339,47.40,1,0.00,5.67,4.58
AO-2011-7110,OFF-ACC-10000497,28.26,2,0.00,6.48,3.71
AO-2011-7110,OFF-SME-10004370,254.94,2,0.00,2.52,22.91
AO-2011-7110,OFF-STA-10000155,55.92,2,0.00,2.22,2.24
AO-2011-8000,OFF-GLO-10003496,27.39,1,0.00,9.03,3.17
AO-2011-8000,TEC-KON-10001624,244.74,2,0.00,70.92,51.57
AO-2011-8000,TEC-MOT-10001178,143.13,1,0.00,57.24,9.12
AO-2011-8260,FUR-ADV-10004718,40.26,2,0.00,8.04,6.91
AO-2011-8260,OFF-AVE-10004310,107.28,12,0.00,35.28,8.18
AO-2011-8260,OFF-BIC-10001632,14.55,1,0.00,3.18,1.97
AO-2011-8260,OFF-BIC-10003680,227.16,12,0.00,90.72,47.97
AO-2011-8260,OFF-CUI-10002506,65.13,1,0.00,24.72,3.94
AO-2011-8260,OFF-ROG-10002866,61.38,2,0.00,1.20,5.31
AO-2011-8430,FUR-BUS-10002989,825.36,2,0.00,338.34,88.97
AO-2011-8430,OFF-ELD-10000124,48.00,1,0.00,15.84,7.92
AO-2011-8430,OFF-SME-10002417,48.51,1,0.00,15.51,11.64
AO-2011-9910,OFF-HAR-10002083,28.56,4,0.00,11.04,2.19
AO-2012-1000,OFF-ACC-10004871,53.28,4,0.00,21.84,5.90
AO-2012-1000,TEC-CIS-10001877,80.46,1,0.00,10.44,4.48
AO-2012-1000,TEC-HP -10003618,299.58,1,0.00,0.00,21.56
AO-2012-1220,OFF-STO-10001671,15.72,2,0.00,5.64,0.41
AO-2012-1220,TEC-BRO-10000374,147.30,1,0.00,0.00,30.20
AO-2012-1230,OFF-HON-10002456,51.24,4,0.00,17.88,0.31
AO-2012-1230,OFF-KRA-10000916,45.72,1,0.00,15.06,1.77
AO-2012-1230,TEC-ENE-10000895,40.29,1,0.00,4.83,3.79
AO-2012-2480,FUR-ADV-10004499,100.02,2,0.00,15.96,6.09
AO-2012-2480,OFF-CUI-10001060,53.46,1,0.00,17.10,3.75
AO-2012-2480,OFF-IBI-10002637,52.92,1,0.00,24.33,3.47
AO-2012-2650,OFF-CAR-10001577,298.62,6,0.00,83.52,18.65
AO-2012-2750,OFF-CAR-10001358,4.80,1,0.00,2.19,0.37
AO-2012-2810,FUR-DAN-10001875,168.81,1,0.00,64.14,19.46
AO-2012-2810,OFF-STA-10003908,14.70,1,0.00,2.94,1.46
AO-2012-3210,OFF-FEL-10002837,52.86,2,0.00,21.66,2.85
AO-2012-3210,OFF-FEL-10004665,207.33,1,0.00,53.88,12.76
AO-2012-3210,TEC-SHA-10001103,239.04,1,0.00,31.05,21.03
AO-2012-5450,TEC-SAM-10004785,636.15,1,0.00,311.70,31.59
AO-2012-6670,FUR-DEF-10001763,40.98,1,0.00,5.73,2.06
AO-2012-7800,OFF-ACC-10004871,106.56,8,0.00,43.68,14.47
AO-2012-7980,TEC-BRO-10000463,263.73,1,0.00,113.40,29.39
AO-2012-8920,OFF-ELD-10002199,128.37,1,0.00,55.17,7.17
AO-2012-8920,OFF-ELI-10003004,30.84,2,0.00,2.10,2.27
AO-2012-8920,OFF-STA-10003956,40.20,4,0.00,19.68,2.64
AO-2013-1140,TEC-CIS-10000758,652.68,1,0.00,169.68,52.38
AO-2013-1470,OFF-OIC-10000855,28.38,2,0.00,5.64,2.31
AO-2013-1640,FUR-NOV-10004962,48.45,1,0.00,12.09,4.54
AO-2013-1640,FUR-OFF-10004824,704.76,4,0.00,211.32,100.51
AO-2013-1640,OFF-ACC-10002834,26.22,2,0.00,8.88,4.92
AO-2013-1640,OFF-AME-10000360,95.04,2,0.00,46.56,7.96
AO-2013-1640,OFF-AME-10002949,21.48,2,0.00,2.52,2.40
AO-2013-1640,OFF-IBI-10002805,30.45,1,0.00,15.21,7.28
AO-2013-1640,OFF-STI-10000388,40.62,2,0.00,13.38,7.28
AO-2013-1640,TEC-MOT-10001088,346.92,2,0.00,100.56,32.39
AO-2013-2100,FUR-DEF-10004355,402.96,8,0.00,36.24,41.24
AO-2013-2100,FUR-SAU-10002642,166.68,1,0.00,34.98,17.42
AO-2013-2100,OFF-KRA-10003337,145.80,4,0.00,49.56,15.52
AO-2013-2100,OFF-OIC-10000121,13.86,1,0.00,3.30,2.07
AO-2013-2100,OFF-STO-10004779,14.37,1,0.00,3.00,2.01
AO-2013-2100,TEC-APP-10001389,166.89,1,0.00,25.02,18.22
AO-2013-2180,FUR-SAU-10003203,169.20,1,0.00,69.36,12.30
AO-2013-2180,OFF-HON-10000934,152.04,14,0.00,27.30,18.74
AO-2013-2180,OFF-ROG-10000191,210.69,1,0.00,52.65,34.31
AO-2013-2230,OFF-AVE-10004508,5.04,1,0.00,0.84,0.74
AO-2013-2230,OFF-ROG-10002818,62.16,1,0.00,24.84,8.71
AO-2013-2380,OFF-STA-10004163,93.84,4,0.00,31.80,10.96
AO-2013-3830,OFF-HON-10003230,16.32,2,0.00,2.28,1.63
AO-2013-4310,FUR-DEF-10002774,47.34,1,0.00,15.12,3.77
AO-2013-4310,OFF-HON-10000934,65.16,6,0.00,11.70,8.67
AO-2013-6050,FUR-ELD-10004994,56.58,1,0.00,24.87,4.73
AO-2013-6050,OFF-STO-10003802,55.92,4,0.00,10.56,4.52
AO-2013-6140,OFF-HON-10000934,65.16,6,0.00,11.70,8.57
AO-2013-6910,OFF-ROG-10002132,848.40,4,0.00,322.32,91.00
AO-2013-7170,OFF-BIN-10002061,46.32,1,0.00,12.03,2.64
AO-2013-7170,OFF-EAT-10002122,49.32,1,0.00,11.82,5.23
AO-2013-7170,OFF-ELD-10000819,48.45,1,0.00,22.77,2.85
AO-2013-7170,OFF-STO-10004841,65.70,6,0.00,25.56,2.59
AO-2013-7370,OFF-OIC-10003978,8.79,1,0.00,3.33,0.95
AO-2013-9250,TEC-APP-10001586,1480.68,12,0.00,592.20,70.97
AO-2013-9250,TEC-CIS-10000791,1466.88,8,0.00,219.84,85.35
AO-2014-1550,OFF-ELD-10000124,48.00,1,0.00,15.84,7.85
AO-2014-190,FUR-HAR-10004129,182.37,1,0.00,52.86,14.55
AO-2014-190,OFF-STO-10003802,13.98,1,0.00,2.64,0.85
AO-2014-2110,OFF-ACC-10001285,34.32,4,0.00,5.40,3.59
AO-2014-2110,OFF-GRE-10004054,110.16,6,0.00,39.60,19.11
AO-2014-2160,OFF-AME-10000244,54.18,2,0.00,21.66,4.29
AO-2014-2160,OFF-TEN-10003089,532.80,4,0.00,95.88,20.23
AO-2014-2270,FUR-CHR-10002278,1877.16,4,0.00,525.60,95.80
AO-2014-2460,OFF-SME-10000746,795.60,4,0.00,222.72,56.09
AO-2014-2730,OFF-FIS-10002661,47.04,1,0.00,13.62,1.82
AO-2014-2730,OFF-WIL-10000979,4.89,1,0.00,1.17,0.47
AO-2014-4190,OFF-IBI-10004855,29.40,4,0.00,9.00,2.52
AO-2014-420,OFF-AVE-10002024,13.38,2,0.00,3.42,3.30
AO-2014-420,TEC-KON-10001519,50.04,1,0.00,14.49,6.78
AO-2014-4830,OFF-FEL-10001405,275.58,2,0.00,35.82,44.92
AO-2014-4830,OFF-SME-10001745,48.93,1,0.00,14.67,6.90
